context,p,decision
40,2,"[np.float64(0.18972156233444304), np.float64(0.1476242992830482)]"
40,3,"[0.27185818150004437, 0.15189012060398266]"
41,0,"[np.float64(-0.13792932826589507), np.float64(-0.15838999807769694)]"
41,1,"[-0.07697424078734243, 0.01231482593311406]"
41,2,"[-0.1228524765814468, -0.05596190872755716]"
41,3,"[np.float64(-0.1330477352703751), np.float64(-0.07253523943034532)]"
42,0,"[np.float64(-0.008349212753437446), np.float64(-0.09076451370758613)]"
42,1,"[-0.0204656144547693, -0.05794271813402957]"
42,2,"[-0.021025302641217297, -0.06293793866135576]"
42,3,"[np.float64(-0.002160066278969433), np.float64(-0.10239626552738665)]"
43,0,"[np.float64(0.12322753474901423), np.float64(0.016853423341468412)]"
43,1,"[0.2766411104237564, -0.03539124532640879]"
43,2,"[0.20735573551043052, 0.0104786660783901]"
43,3,"[np.float64(0.12322753474901423), np.float64(0.016853423341468412)]"
44,0,"[np.float64(0.1469687018791223), np.float64(-0.19141384984859094)]"
44,1,"[0.16649316172859685, -0.14449279724868666]"
44,2,"[0.14696870187912234, -0.16186803553247456]"
44,3,"[np.float64(0.14198307245676464), np.float64(-0.178037200120547)]"
45,0,"[np.float64(0.010694548808029253), np.float64(-0.06259634594186378)]"
45,1,"[0.023472367126022298, 0.050994736969866866]"
45,2,"[0.011617932477306747, -0.015090043188080354]"
45,3,"[np.float64(0.01042585878518637), np.float64(-0.06161416698690286)]"
46,0,"[np.float64(0.039306347060033206), np.float64(0.182274130415888)]"
46,1,"[-0.029309333117573055, 0.2917894730742229]"
46,2,"[0.036027239085720066, 0.2315647426691553]"
46,3,"[np.float64(0.04579546436785006), np.float64(0.1966996047655463)]"
47,0,"[np.float64(0.02348468789679653), np.float64(-0.07417713525726008)]"
47,1,"[-0.028316739600520696, -0.043895449932519065]"
47,2,"[0.0012794221327517424, -0.05522203013112281]"
47,3,"[np.float64(0.03855364925024182), np.float64(-0.08730765576296391)]"
48,0,"[np.float64(0.19998952146713772), np.float64(-0.13791750998396232)]"
48,1,"[0.1474194915819378, -0.26050102739099623]"
48,2,"[0.16329584570934966, -0.2152333322254382]"
48,3,"[np.float64(0.19119152027029673), np.float64(-0.15215180793703623)]"
49,0,"[np.float64(-0.05950364881908399), np.float64(-0.04264086562324233)]"
49,1,"[-0.12585190204248825, -0.03668630678831719]"
49,2,"[np.float64(-0.033579686677765064), np.float64(-0.04270723731906646)]"
49,3,"[np.float64(-0.04576519875294406), np.float64(-0.04232342625938511)]"
50,0,"[np.float64(-0.22410021666520297), np.float64(-0.04025552626715215)]"
50,1,"[-0.15084458874422269, -0.04252418340226807]"
50,2,"[-0.2179419602334968, -0.04073565424138642]"
50,3,"[np.float64(-0.23582948823869493), np.float64(-0.0411771540785591)]"
51,0,"[np.float64(-0.19649638427535654), np.float64(-0.26039924153583177)]"
51,1,"[0.05351710972611718, -0.323645149360736]"
51,2,"[-0.08539161405813542, -0.2687869340694021]"
51,3,"[np.float64(-0.18955726983127796), np.float64(-0.25130064747557385)]"
52,0,"[np.float64(0.14531893613279984), np.float64(-0.2086396519328089)]"
52,1,"[0.11582202863884203, -0.32704792077429223]"
52,2,"[0.13484815887903692, -0.3057170907167089]"
52,3,"[np.float64(0.14739258665761906), np.float64(-0.2293303410922346)]"
53,0,"[np.float64(-0.3132741440654221), np.float64(-0.024705079562484824)]"
53,1,"[-0.2712180446051669, 0.011529416709243803]"
53,2,"[-0.28740352677891834, -0.007901078951009846]"
53,3,"[np.float64(-0.32002678438893095), np.float64(-0.04141987779266729)]"
54,0,"[np.float64(0.0437468383017627), np.float64(0.1476706968940507)]"
54,1,"[0.06907252461389915, 0.09160075636653958]"
54,2,"[0.04362657665112983, 0.11448890053346053]"
54,3,"[np.float64(0.030115377628957676), np.float64(0.14194744241394394)]"
55,0,"[np.float64(0.061877942160561535), np.float64(0.06272172627280939)]"
55,1,"[0.05968784065878416, 0.10177647519331928]"
55,2,"[0.058431003231994884, 0.07315482855993903]"
