context,p,decision
3,1,"[0.3400718656163555, -0.1400053502197283]"
3,2,"[0.39295752355083335, -0.10516840461739034]"
3,3,"[np.float64(0.4145997497611603), np.float64(-0.0993602454987908)]"
4,0,"[np.float64(-0.0032921647297458334), np.float64(-0.039491696881875316)]"
4,1,"[0.008151746777775887, 0.20738147738560003]"
4,2,"[0.008169369983849456, 0.08145055281282239]"
4,3,"[np.float64(0.004370541417946197), np.float64(0.011260306817900911)]"
5,0,"[np.float64(0.23761627949035125), np.float64(0.07885669946607837)]"
5,1,"[0.2975369163470535, 0.06816827345441176]"
5,2,"[0.24097198996053748, 0.07830038431128275]"
5,3,"[np.float64(0.2215515418394136), np.float64(0.08136946352289862)]"
6,0,"[np.float64(-0.016769095523707325), np.float64(-0.026297359336749863)]"
6,1,"[-0.05780783236351791, -0.06047330044631506]"
6,2,"[-0.010386468879778683, -0.029348806508702956]"
6,3,"[np.float64(0.00023992018652848474), np.float64(-0.012276443387701917)]"
7,0,"[np.float64(0.17502095573467258), np.float64(-0.24046253502025305)]"
7,1,"[0.0624159357475867, -0.32637347246880605]"
7,2,"[0.12005048464353725, -0.26177769830130104]"
7,3,"[np.float64(0.1992128042900604), np.float64(-0.2116016017919949)]"
8,0,"[np.float64(0.19175147840765927), np.float64(0.2379869858894564)]"
8,1,"[0.220988562157797, 0.05394417799820611]"
8,2,"[0.193482829063421, 0.17242966433798984]"
8,3,"[np.float64(0.18388938146603123), np.float64(0.23820784499398637)]"
9,0,"[np.float64(-0.19738068194983488), np.float64(-0.3023499721660051)]"
9,1,"[-0.2336436597150417, -0.27377357623155896]"
9,2,"[-0.22175959707558257, -0.2837763154089581]"
9,3,"[np.float64(-0.21030117736839288), np.float64(-0.30612154180453965)]"
10,0,"[np.float64(0.3317750082619162), np.float64(0.13896698874383467)]"
10,1,"[0.33933715538564035, 0.12697938779202866]"
10,2,"[0.33007782866378765, 0.13417586070012238]"
10,3,"[np.float64(0.33460906808796587), np.float64(0.13938433967039915)]"
11,0,"[np.float64(-0.04562345824121059), np.float64(0.19661702672440876)]"
11,1,"[-0.01676464344221828, 0.1625813703837228]"
11,2,"[-0.03497262221170293, 0.18510193863211882]"
11,3,"[np.float64(-0.051924506017462464), np.float64(0.20341379700303133)]"
12,0,"[np.float64(0.16178682476557515), np.float64(-0.01961999132399163)]"
12,1,"[0.1905780801936134, -0.09650986560244931]"
12,2,"[0.17525422674874513, -0.02455090470196645]"
12,3,"[np.float64(0.1656059174327975), np.float64(-0.008635343825332237)]"
13,0,"[np.float64(-0.12222713756460553), np.float64(-0.2460515029770986)]"
13,1,"[-0.05662623331765094, -0.04585529588742478]"
13,2,"[-0.09926029909908926, -0.14960174579274682]"
13,3,"[np.float64(-0.11489740088218163), np.float64(-0.19367104985869815)]"
14,0,"[np.float64(0.25073284880110996), np.float64(-0.38667980840540894)]"
14,1,"[0.16203581755331636, -0.09001916041100978]"
14,2,"[0.21741267360620514, -0.2488220114825644]"
14,3,"[np.float64(0.23344256963794952), np.float64(-0.3010349059385105)]"
15,0,"[np.float64(0.388351132694866), np.float64(0.1981035968585171)]"
15,1,"[0.28895353970076887, -0.009310692256039893]"
15,2,"[0.3676869378194109, 0.09798658563848578]"
15,3,"[np.float64(0.40602463767439884), np.float64(0.20098043940888863)]"
16,0,"[np.float64(0.038986422612945354), np.float64(0.059150713024829694)]"
16,1,"[-0.032069965833932665, 0.06595495687362472]"
16,2,"[0.030162097711332075, 0.060692813542112]"
