context,p,decision
35,3,"[0.05467147168184133, -0.063647406142555]"
36,0,"[np.float64(0.12030400148553742), np.float64(-0.21214430224626257)]"
36,1,"[0.04013709097084718, -0.02736966222147666]"
36,2,"[0.0910356384099286, -0.07171778738989072]"
36,3,"[0.09372824654447243, -0.07488052428046844]"
37,0,"[np.float64(0.09063604332947933), np.float64(0.009836165858064738)]"
37,1,"[-0.06727368003603487, 0.0244955610670392]"
37,2,"[np.float64(0.11283175880881467), np.float64(-0.007034118265307387)]"
37,3,"[np.float64(0.09919174670850717), np.float64(-0.010677093050139783)]"
38,0,"[np.float64(-0.06730461856795526), np.float64(-0.05468262366616917)]"
38,1,"[-0.015381131876180018, 0.05079997283476714]"
38,2,"[np.float64(-0.04341937075896054), np.float64(0.01830256657376063)]"
38,3,"[np.float64(-0.05012939090139167), np.float64(0.0007170515550571493)]"
0,0,"[np.float64(0.23324138399319677), np.float64(0.021079942996545975)]"
0,1,"[0.24168897468344286, -0.07200194234873886]"
0,2,"[0.20916597661568825, -0.02982571705270612]"
0,3,"[np.float64(0.22177995192710848), np.float64(-0.003327691116033371)]"
1,0,"[np.float64(0.22187049208709647), np.float64(-0.06256771022127003)]"
1,1,"[0.021393398949571048, -0.04146287271945759]"
1,2,"[0.06990673552346455, -0.04418830788876714]"
1,3,"[0.1131142779240791, -0.050278972662955335]"
2,0,"[np.float64(0.26919907032964874), np.float64(-0.10111895606520623)]"
2,1,"[0.225228322720015, -0.017597296864361775]"
2,2,"[0.21145798450081704, -0.04905759627062464]"
2,3,"[0.20123759691528403, -0.03103060989935494]"
3,0,"[np.float64(-0.02565188933241698), np.float64(-0.08929623120642739)]"
3,1,"[0.08751282621931482, -0.060142917207490515]"
3,2,"[0.06672862799305816, -0.07886897964028262]"
3,3,"[np.float64(-0.0063977224253327775), np.float64(-0.08602112467955633)]"
4,0,"[np.float64(-0.2076531841307792), np.float64(0.16614451395625088)]"
4,1,"[-0.18669169297339716, 0.17106515224033036]"
4,2,"[-0.1852179819917401, 0.1655995506775793]"
4,3,"[np.float64(-0.20372436346901562), np.float64(0.1672175756777422)]"
5,0,"[np.float64(0.2325752414071819), np.float64(-0.30198038787879883)]"
5,1,"[0.17691226377766855, -0.04337453068694495]"
5,2,"[0.17691226377766855, -0.04337453068694495]"
5,3,"[np.float64(0.2269225069577218), np.float64(-0.2360085514236317)]"
6,0,"[np.float64(-0.13339511581005797), np.float64(0.10778273101076662)]"
6,1,"[-0.1761417033794761, 0.09349974953413627]"
6,2,"[-0.1403855021967857, 0.10156911482885952]"
6,3,"[np.float64(-0.14519029817737142), np.float64(0.10755035644276903)]"
7,0,"[np.float64(0.18971787570968004), np.float64(0.022776875094855764)]"
7,1,"[0.09175245219313921, -0.06432434638090254]"
7,2,"[0.15193971897836353, -0.029081161426631447]"
7,3,"[np.float64(0.1714055398188073), np.float64(-0.0016398647245774722)]"
8,0,"[np.float64(0.07247692899653159), np.float64(-0.26720020316921794)]"
8,1,"[0.17709656030341478, -0.24558291586605502]"
8,2,"[0.1222415743015513, -0.25189984054359105]"
8,3,"[0.1428740133052797, -0.2478866838460137]"
9,0,"[np.float64(0.016316141468852158), np.float64(-0.28757160468740206)]"
9,1,"[-0.13714618819868715, -0.2904028142868183]"
9,2,"[-0.05163864416652976, -0.27786794958035027]"
9,3,"[np.float64(-0.028169696588736748), np.float64(-0.2816622313933847)]"
10,0,"[np.float64(-0.1939655579733954), np.float64(-0.11361359191518469)]"
10,1,"[-0.22887843876871003, -0.1937494033137925]"
10,2,"[-0.22237335371610337, -0.18318311735161855]"
10,3,"[np.float64(-0.20660263453874533), np.float64(-0.14803837791956567)]"
11,0,"[np.float64(0.28235025236484906), np.float64(0.31163116459308526)]"
11,1,"[-0.03477170403675243, 0.4140765100814465]"
11,2,"[0.08340796374162568, 0.37321678922864554]"
11,3,"[np.float64(0.20970515281072338), np.float64(0.3377584175148418)]"
12,0,"[np.float64(0.2792330575290105), np.float64(0.03568436083648678)]"
12,1,"[0.25431723896436664, 0.198920773913263]"
12,2,"[0.2651267758536587, 0.1315806931253576]"
12,3,"[0.2651267758536587, 0.1315806931253576]"
13,0,"[np.float64(-0.15403439554546294), np.float64(-0.07803049561802161)]"
13,1,"[-0.14065186558132306, -0.045594036174789]"
13,2,"[-0.13601398703517784, -0.03671759828976002]"
13,3,"[np.float64(-0.14692108709239074), np.float64(-0.06301287449787035)]"
14,0,"[np.float64(-0.046230708836430406), np.float64(0.34955827635573083)]"
14,1,"[0.0008130862793623017, 0.21165852679868732]"
14,2,"[-0.030257541198827842, 0.274878505740341]"
14,3,"[-0.030257541198827842, 0.274878505740341]"
15,0,"[np.float64(0.22658463145073393), np.float64(0.057686328427403954)]"
15,1,"[0.467357675022106, 0.16104314489763308]"
15,2,"[0.3630701018930145, 0.07834633225892088]"
15,3,"[np.float64(0.2896281332385557), np.float64(0.05167027441164501)]"
16,0,"[np.float64(0.048768503301805086), np.float64(0.5372606636134228)]"
16,1,"[0.11565705043572931, 0.2535285549458715]"
16,2,"[0.07505981509449898, 0.4060512566235285]"
