context,p_value,agent,satisfaction
24,3,30.0,0.21404595614912703
24,3,49.0,0.3330744945727582
24,3,98.0,0.4682155712604499
24,3,39.0,0.43212020708421905
25,0,54.0,0.6882433805508636
25,0,35.0,0.6434908530073784
25,0,96.0,0.156939018241995
25,0,14.0,0.0716245852231234
25,0,67.0,0.04473761450379822
25,0,92.0,0.10090798388742304
25,0,2.0,0.3024063146708964
25,0,4.0,0.5435652969495626
25,0,18.0,0.4942123337204366
25,0,83.0,0.4108464862474278
25,1,54.0,0.5376710822252825
25,1,35.0,0.49291855468179724
25,1,96.0,0.006366719916413799
25,1,14.0,0.2221968835487046
25,1,67.0,0.10583468382178297
25,1,92.0,0.04966431443815815
25,1,2.0,0.1518340163453152
25,1,4.0,0.3929929986239814
25,1,18.0,0.34364003539485544
25,1,83.0,0.26027418792184664
25,2,54.0,0.5376710822252825
25,2,35.0,0.49291855468179724
25,2,96.0,0.006366719916413799
25,2,14.0,0.2221968835487046
25,2,67.0,0.10583468382178297
25,2,92.0,0.04966431443815815
25,2,2.0,0.1518340163453152
25,2,4.0,0.3929929986239814
25,2,18.0,0.34364003539485544
25,2,83.0,0.26027418792184664
25,3,54.0,0.6669331833455693
25,3,35.0,0.622180655802084
25,3,96.0,0.1356288210367006
25,3,14.0,0.09293478242841781
25,3,67.0,0.02342741729850381
25,3,92.0,0.07959778668212864
25,3,2.0,0.281096117465602
25,3,4.0,0.5222550997442682
25,3,18.0,0.47290213651514224
25,3,83.0,0.38953628904213344
26,0,13.0,0.07952435318981783
26,0,70.0,0.19263388053822267
26,0,46.0,0.4544910621414004
26,0,38.0,0.03068893722823557
26,0,79.0,0.14493343665961644
26,0,19.0,0.14260014598610818
26,0,26.0,0.30685596698142137
26,0,32.0,0.12219441487280236
26,0,56.0,0.024536268099707003
26,0,22.0,0.019461630160617305
26,1,13.0,0.21575428419329956
26,1,70.0,0.05640394953474093
26,1,46.0,0.5907209931448821
26,1,38.0,0.1669188682317173
26,1,79.0,0.2811633676630982
26,1,19.0,0.27883007698958995
26,1,26.0,0.17062603597793963
26,1,32.0,0.2584243458762841
26,1,56.0,0.16076619910318873
26,1,22.0,0.11676830084286444
26,2,13.0,0.17663087698765417
26,2,70.0,0.09552735674038632
26,2,46.0,0.5515975859392368
26,2,38.0,0.12779546102607192
26,2,79.0,0.2420399604574528
26,2,19.0,0.23970666978394453
26,2,26.0,0.20974944318358502
26,2,32.0,0.2193009386706387
26,2,56.0,0.12164279189754336
26,2,22.0,0.07764489363721905
26,3,13.0,0.1359297055377251
26,3,70.0,0.1362285281903154
26,3,46.0,0.5108964144893077
26,3,38.0,0.08709428957614283
26,3,79.0,0.20133878900752372
26,3,19.0,0.19900549833401543
26,3,26.0,0.2504506146335141
26,3,32.0,0.17859976722070964
26,3,56.0,0.08094162044761427
26,3,22.0,0.03694372218728996
27,0,5.0,0.1148381079305113
27,0,81.0,0.2851252050483305
27,0,16.0,0.2921841665692365
27,0,65.0,0.1520752990093754
27,0,25.0,0.25400206816439347
27,0,7.0,0.012393815369753064
27,0,62.0,0.13768451867680123
27,0,9.0,0.6960895365249911
27,0,15.0,0.7288426474627205
27,0,27.0,0.14078638288446343
27,1,5.0,0.2301401966290244
27,1,81.0,0.1698231163498174
27,1,16.0,0.1768820778707234
27,1,65.0,0.2673773877078885
27,1,25.0,0.3693041568629066
27,1,7.0,0.10290827332876003
27,1,62.0,0.022382429978288126
27,1,9.0,0.580787447826478
27,1,15.0,0.6135405587642074
27,1,27.0,0.025484294185950353
27,2,5.0,0.2301401966290244
27,2,81.0,0.1698231163498174
27,2,16.0,0.1768820778707234
27,2,65.0,0.2673773877078885
27,2,25.0,0.3693041568629066
27,2,7.0,0.10290827332876003
27,2,62.0,0.022382429978288126
27,2,9.0,0.580787447826478
27,2,15.0,0.6135405587642074
27,2,27.0,0.025484294185950353
27,3,5.0,0.11542972581106142
27,3,81.0,0.2845335871677803
27,3,16.0,0.29159254868868634
27,3,65.0,0.1526669168899255
27,3,25.0,0.2545936860449436
27,3,7.0,0.011802197489202942
27,3,62.0,0.1370929007962511
27,3,9.0,0.6954979186444409
27,3,15.0,0.7282510295821704
27,3,27.0,0.1401947650039133
28,0,89.0,0.19866589116407898
28,0,33.0,0.3986693807383539
28,0,41.0,0.41288632578415385
28,0,66.0,0.5558505866948119
28,0,74.0,0.3898230231014119
28,0,61.0,0.3402289579758697
28,0,77.0,0.24740838121844633
28,0,23.0,0.05481065694445786
28,0,64.0,0.14053373606435154
28,0,3.0,0.25201187268502795
28,1,89.0,0.12557491295853873
28,1,33.0,0.3255784025328136
28,1,41.0,0.3397953475786136
28,1,66.0,0.4827596084892717
28,1,74.0,0.3167320448958717
28,1,61.0,0.2671379797703295
28,1,77.0,0.17431740301290607
28,1,23.0,0.1279016351499981
28,1,64.0,0.0674427578588113
28,1,3.0,0.1789208944794877
28,2,89.0,0.13632370192203327
28,2,33.0,0.3363271914963082
28,2,41.0,0.35054413654210814
28,2,66.0,0.4935083974527662
28,2,74.0,0.3274808338593662
28,2,61.0,0.277886768733824
28,2,77.0,0.18506619197640062
28,2,23.0,0.11715284618650357
28,2,64.0,0.07819154682230584
28,2,3.0,0.18966968344298224
28,3,89.0,0.1621160934903448
28,3,33.0,0.3621195830646197
