context,p,decision
7,3,"[-0.26147123917313836, -0.0627873515393793]"
8,0,"[np.float64(-0.012401080891545166), np.float64(0.1932317729542556)]"
8,1,"[-0.05126440282576826, 0.049983409648885826]"
8,2,"[-0.03742301204356427, 0.1303226768629615]"
8,3,"[np.float64(-0.014093780929251641), np.float64(0.18546794264903882)]"
9,0,"[np.float64(-0.09606049973676932), np.float64(0.005193870963407163)]"
9,1,"[-0.12840651875414008, -0.16124844106683717]"
9,2,"[-0.10612937113680079, -0.04527448025250096]"
9,3,"[np.float64(-0.10352292003859832), np.float64(-0.023425975021204803)]"
10,0,"[np.float64(0.5258160290213467), np.float64(0.1291152121500029)]"
10,1,"[0.5487818865545204, 0.11309499800255553]"
10,2,"[0.5370276493878684, 0.11066084821511685]"
10,3,"[np.float64(0.5285350317049006), np.float64(0.12808320187134392)]"
11,0,"[np.float64(-0.04458223711128501), np.float64(-0.02640011698818008)]"
11,1,"[-0.0731272906630196, 0.018274432862595058]"
11,2,"[-0.07216287329656196, 0.014203872411866006]"
11,3,"[np.float64(-0.050724057823922156), np.float64(-0.017559414328103415)]"
12,0,"[np.float64(0.15006250045086708), np.float64(-0.092912927636497)]"
12,1,"[-0.026864956741789764, 0.07360910638775524]"
12,2,"[0.050213875096187105, 0.005264753712191532]"
12,3,"[np.float64(0.10415082197304068), np.float64(-0.05080023597510983)]"
13,0,"[np.float64(0.2938023404151438), np.float64(0.27882630824869775)]"
13,1,"[0.32835499597940687, 0.15569609750444083]"
13,2,"[0.3069420049251309, 0.22752784215742483]"
13,3,"[np.float64(0.2938023404151438), np.float64(0.27882630824869775)]"
14,0,"[np.float64(-0.19439773506195127), np.float64(0.25464205646996063)]"
14,1,"[-0.008600991950792558, 0.3567351598210756]"
14,2,"[-0.11290157781001203, 0.2985837677308639]"
14,3,"[np.float64(-0.15985450687302308), np.float64(0.279881245851189)]"
15,0,"[np.float64(0.021236027824855716), np.float64(0.2466008629760086)]"
15,1,"[-0.16177262993823008, 0.23535611986593574]"
15,2,"[-0.07309951347100721, 0.21965180867544798]"
15,3,"[np.float64(-0.01750996775254901), np.float64(0.2336826506349952)]"
16,0,"[np.float64(0.37077489715484624), np.float64(0.03734187797553094)]"
16,1,"[0.2788262726979463, -0.030157565551155785]"
16,2,"[0.3340612338060477, 0.014195105171772913]"
16,3,"[np.float64(0.35777127674030884), np.float64(0.02808514964612275)]"
17,0,"[np.float64(-0.31717059208174975), np.float64(-0.06152364866480588)]"
17,1,"[-0.2638635685595863, -0.19978182778047712]"
17,2,"[-0.2653356083664057, -0.19122192695503082]"
17,3,"[np.float64(-0.3110872489928517), np.float64(-0.06464231898491737)]"
18,0,"[np.float64(-0.2203193093148224), np.float64(0.16723573816735665)]"
18,1,"[-0.018351660076122975, 0.2649028115343695]"
18,2,"[-0.11863094898001607, 0.20025514055204152]"
18,3,"[np.float64(-0.20471497284993675), np.float64(0.17467036853781792)]"
19,0,"[np.float64(-0.1064336527400122), np.float64(-0.14838581110179377)]"
19,1,"[-0.07846994520681777, -0.12750533483673676]"
19,2,"[-0.08308318730164635, -0.1297550993690696]"
19,3,"[np.float64(-0.10682836042836513), np.float64(-0.14977825104515435)]"
20,0,"[np.float64(-0.19598229424356006), np.float64(-0.013651543128139387)]"
20,1,"[-0.1948909330350051, -0.07058243556953972]"
20,2,"[-0.19104429760331662, -0.03987456227662091]"
20,3,"[np.float64(-0.19898358020591606), np.float64(-0.020564957706362033)]"
21,0,"[np.float64(0.27558446485029064), np.float64(0.15158058072357522)]"
21,1,"[0.12601037815034954, 0.1462869741329818]"
21,2,"[0.21352573106936745, 0.1460779577759626]"
21,3,"[np.float64(0.25026109449563755), np.float64(0.1488981568833947)]"
22,0,"[np.float64(-0.16964583068245684), np.float64(-0.059345536281308474)]"
22,1,"[0.014854824986954882, -0.15645031137665127]"
22,2,"[-0.06439147502691146, -0.10575671834345605]"
22,3,"[np.float64(-0.1485455485820629), np.float64(-0.07394668824392454)]"
23,0,"[np.float64(0.2559692929650027), np.float64(-0.05737326237876876)]"
23,1,"[-0.04884460924084466, -0.07101664489600441]"
23,2,"[0.11682831864642265, -0.06092209670253403]"
23,3,"[np.float64(0.19019193442081922), np.float64(-0.060394591411926594)]"
24,0,"[np.float64(-0.11925773197008858), np.float64(-0.15196763105333327)]"
24,1,"[-0.14826143569608966, -0.11744863392163307]"
24,2,"[-0.13418863206007456, -0.13497472189825407]"
24,3,"[np.float64(-0.12073705148635903), np.float64(-0.15079173040017665)]"
25,0,"[np.float64(0.07073269570983365), np.float64(-0.02651164851153148)]"
25,1,"[-0.09503778489639496, -0.09640835697763597]"
25,2,"[-0.055878432314334744, -0.0031507259373845034]"
25,3,"[-0.030779426449010473, 0.011433262092446952]"
26,0,"[np.float64(-0.0330817367188672), np.float64(-0.10325519426716878)]"
26,1,"[-0.06000645519792226, 0.00154910684273463]"
26,2,"[np.float64(-0.022108921974753584), np.float64(-0.09432937455604674)]"
26,3,"[np.float64(-0.033317358888511964), np.float64(-0.10105167986721175)]"
27,0,"[np.float64(0.10484392061051526), np.float64(0.055415900121926626)]"
27,1,"[0.1413179387319902, 0.2387112944183153]"
27,2,"[0.14457482152654016, 0.15552059929570125]"
27,3,"[np.float64(0.11467263804939193), np.float64(0.07024572844482603)]"
28,0,"[np.float64(0.10225407144652245), np.float64(-0.163905896930919)]"
28,1,"[0.0722522698872499, -0.2239849205414398]"
28,2,"[0.04897982591825684, -0.20587467138129054]"
28,3,"[np.float64(0.10345931198393064), np.float64(-0.1633178751240173)]"
29,0,"[np.float64(0.04213990985403286), np.float64(-0.039005574133903625)]"
29,1,"[-0.0503344719793873, -0.021936223235411667]"
29,2,"[-0.0589884711550667, -0.030075204299048995]"
29,3,"[np.float64(-0.036839950531656854), np.float64(-0.039662082942496193)]"
30,0,"[np.float64(0.010843379640715495), np.float64(-0.11015113390556322)]"
30,1,"[-0.0758354022311904, -0.014058431537783455]"
30,2,"[-0.08324650028809687, -0.13839501852659053]"
30,3,"[np.float64(-0.01189750048353344), np.float64(-0.12195378842837484)]"
31,0,"[np.float64(-0.01672167027699885), np.float64(0.10442302024683692)]"
31,1,"[-0.07671044690614255, 0.05465376716893126]"
31,2,"[-0.08225856518965946, 0.0738258550318196]"
