context,p_value,agent,satisfaction
13,2,23.0,0.22881647778002862
13,3,14.0,0.2618705470615085
13,3,0.0,0.015337916524664208
13,3,40.0,0.08182782442675679
13,3,23.0,0.2719155212211525
14,0,60.0,0.013402826477700087
14,0,44.0,0.0025362098278638376
14,0,71.0,0.36717880279493004
14,0,39.0,0.08703486344362613
14,1,60.0,0.16417240457568996
14,1,44.0,0.14823336827012604
14,1,71.0,0.21640922469694016
14,1,39.0,0.237804441541616
14,2,60.0,0.06390609236646666
14,2,44.0,0.047967056060902735
14,2,71.0,0.31667553690616346
14,2,39.0,0.1375381293323927
14,3,60.0,0.04899370214256189
14,3,44.0,0.03305466583699797
14,3,71.0,0.33158792713006824
14,3,39.0,0.12262573910848792
15,0,62.0,0.16143981394155563
15,0,30.0,0.02131035735086853
15,0,99.0,0.3345297434988043
15,0,32.0,0.0666880497315426
15,1,62.0,0.2809863298440243
15,1,30.0,0.09823615855160009
15,1,99.0,0.2149832275963357
15,1,32.0,0.052858466170926016
15,2,62.0,0.23450021500983587
15,2,30.0,0.051750043717411695
15,2,99.0,0.2614693424305241
15,2,32.0,0.006372351336737622
15,3,62.0,0.18244852007296497
15,3,30.0,0.00030165121945918694
15,3,99.0,0.313521037367395
15,3,32.0,0.04567934360013326
16,0,72.0,0.07963792022974249
16,0,63.0,0.21628387901936424
16,0,13.0,0.1822042572949954
16,0,6.0,0.07518392949210963
16,1,72.0,0.09847027208036246
16,1,63.0,0.2351162308699842
16,1,13.0,0.20103660914561536
16,1,6.0,0.0940162813427296
16,2,72.0,0.06644226495063485
16,2,63.0,0.2030882237402566
16,2,13.0,0.16900860201588774
16,2,6.0,0.06198827421300199
16,3,72.0,0.08222682912414504
16,3,63.0,0.2188727879137668
16,3,13.0,0.18479316618939795
16,3,6.0,0.07777283838651218
17,0,85.0,0.01777653552149369
17,0,24.0,0.15292373908157209
17,0,27.0,0.21438612344803487
17,0,2.0,0.08954781061147886
17,1,85.0,0.030718112410206944
17,1,24.0,0.2014183870132727
17,1,27.0,0.2628807713797355
17,1,2.0,0.13804245854317948
17,2,85.0,0.0015205881700478818
17,2,24.0,0.1691796864330179
17,2,27.0,0.23064207079948068
17,2,2.0,0.10580375796292467
17,3,85.0,0.005235822621372788
17,3,24.0,0.16546445198169296
17,3,27.0,0.22692683634815577
17,3,2.0,0.10208852351159976
18,0,81.0,0.05133721232142292
18,0,65.0,0.27096694595715576
18,0,36.0,0.14762048945854167
18,0,29.0,0.10951619679394896
18,1,81.0,0.1952014741184693
18,1,65.0,0.5175056323970479
18,1,36.0,0.3941591758984339
18,1,29.0,0.13702248964594327
18,2,81.0,0.09290221616538438
18,2,65.0,0.415206374443963
18,2,36.0,0.291859917945349
18,2,29.0,0.03472323169285835
18,3,81.0,0.03366738238168286
18,3,65.0,0.2886367758968958
18,3,36.0,0.16529031939828176
18,3,29.0,0.0918463668542089
19,0,59.0,0.04223898593876432
19,0,86.0,0.0756543573824277
19,0,91.0,0.02968078011649497
19,0,31.0,0.29857833378916854
19,1,59.0,0.1681695257312358
19,1,86.0,0.05027618241004378
19,1,91.0,0.09624975967597652
19,1,31.0,0.42450887358164
19,2,59.0,0.08499628561113047
19,2,86.0,0.03289705771006156
19,2,91.0,0.013076519555871177
19,2,31.0,0.3413356334615347
19,3,59.0,0.06659172544031505
19,3,86.0,0.051301617880876976
19,3,91.0,0.0053280406149442405
19,3,31.0,0.3229310732907193
20,0,97.0,0.03133648975377314
20,0,15.0,0.4264987386649578
20,0,66.0,0.1657107707027701
20,0,73.0,0.4042400951085108
20,1,97.0,0.0768080756635752
20,1,15.0,0.3183541732476095
20,1,66.0,0.05756620528542175
20,1,73.0,0.5123846605258591
20,2,97.0,0.013250648748564086
20,2,15.0,0.3819116001626206
20,2,66.0,0.12112363220043287
20,2,73.0,0.448827233610848
20,3,97.0,0.0032812813571671366
20,3,15.0,0.39844353026835183
20,3,66.0,0.1376555623061641
20,3,73.0,0.43229530350511675
21,0,89.0,0.6872735377980335
21,0,47.0,0.11288222538476439
21,0,61.0,0.2071935285530622
21,0,51.0,0.5447100307707771
21,1,89.0,0.672839024302302
21,1,47.0,0.12731673888049574
21,1,61.0,0.19275901505733084
21,1,51.0,0.5302755172750457
21,2,89.0,0.672839024302302
21,2,47.0,0.12731673888049574
21,2,61.0,0.19275901505733084
21,2,51.0,0.5302755172750457
21,3,89.0,0.694498225430155
21,3,47.0,0.10565753775264275
21,3,61.0,0.21441821618518384
21,3,51.0,0.5519347184028986
22,0,93.0,0.28399884326315306
22,0,84.0,0.3526263166806799
22,0,12.0,0.2710227200486022
22,0,53.0,0.23565763345960283
22,1,93.0,0.1940139519852257
22,1,84.0,0.2626414254027526
22,1,12.0,0.1810378287706748
22,1,53.0,0.1456727421816755
22,2,93.0,0.24868864356330883
22,2,84.0,0.3173161169808357
22,2,12.0,0.23571252034875795
22,2,53.0,0.20034743375975864
22,3,93.0,0.25899450295713033
22,3,84.0,0.3276219763746572
22,3,12.0,0.24601837974257945
22,3,53.0,0.21065329315358014
23,0,11.0,0.09679058149888328
23,0,20.0,0.14322122306972468
23,0,38.0,0.5784440813565674
23,0,79.0,0.7165514945038918
23,1,11.0,0.013878036335171068
23,1,20.0,0.060308677906012464
23,1,38.0,0.4955315361928552
23,1,79.0,0.6336389493401796
23,2,11.0,0.05490431020435135
23,2,20.0,0.10133495177519275
23,2,38.0,0.5365578100620355
23,2,79.0,0.67466522320936
23,3,11.0,0.06702078095000849
23,3,20.0,0.11345142252084989
23,3,38.0,0.5486742808076926
23,3,79.0,0.6867816939550171
24,0,28.0,0.020321200827958408
24,0,5.0,0.49089777421799924
24,0,75.0,0.3478240528286391
24,0,35.0,0.04262367311097742
24,1,28.0,0.0008930998571583249
24,1,5.0,0.46968347353288253
24,1,75.0,0.3266097521435224
24,1,35.0,0.06383797379609416
24,2,28.0,0.014215208740348373
24,2,5.0,0.4847917821303892
24,2,75.0,0.34171806074102906
24,2,35.0,0.04872966519858746
24,3,28.0,0.01904739492862692
24,3,5.0,0.4896239683186677
24,3,75.0,0.3465502469293076
24,3,35.0,0.04389747901030891
25,0,97.0,0.04799198759824261
25,0,63.0,0.10864601509770286
25,0,77.0,0.5190002416160869
25,0,32.0,0.5722489709333644
25,0,36.0,0.46174034518750595
25,0,21.0,0.29560239657472587
25,0,43.0,0.777314152091825
25,0,80.0,0.017220148492136322
25,0,60.0,0.08931644577910622
25,0,70.0,0.24736973826995046
25,1,97.0,0.1502260234283911
25,1,63.0,0.21088005092785134
25,1,77.0,0.4167662057859384
25,1,32.0,0.47001493510321585
25,1,36.0,0.3595063093573575
25,1,21.0,0.19336836074457742
25,1,43.0,0.6750801162616765
25,1,80.0,0.08501388733801216
25,1,60.0,0.1915504816092547
25,1,70.0,0.145135702439802
25,2,97.0,0.07749035743820563
25,2,63.0,0.1381443849376659
