context,p,decision
32,0,"[np.float64(0.06577960327136059), np.float64(-0.15111968007379561)]"
32,1,"[-0.08513645763009021, -0.1917947841614684]"
32,2,"[0.007447970094019582, -0.17765020952664412]"
32,3,"[-0.04454157393246848, -0.18836480684643037]"
33,0,"[np.float64(-0.18794582273178279), np.float64(-0.03821800821186473)]"
33,1,"[-0.04909574044893046, -0.1576546811480016]"
33,2,"[np.float64(-0.1633089603884395), np.float64(-0.04730135973321675)]"
33,3,"[np.float64(-0.11064303382300354), np.float64(-0.06370886136632048)]"
34,0,"[np.float64(-0.012669929073664167), np.float64(0.1486698608092053)]"
34,1,"[0.05618267140864634, -0.0017819773724331855]"
34,2,"[0.050950433383274506, 0.0947450102905848]"
34,3,"[np.float64(0.0474862522444219), np.float64(0.10039879595628592)]"
35,0,"[np.float64(0.024707366841510994), np.float64(0.09267308783522926)]"
35,1,"[-0.02122233597831584, 0.038940518627536294]"
35,2,"[-0.028647971263978837, 0.040490144803556456]"
35,3,"[-0.05722052916879125, 0.06405603444637373]"
36,0,"[np.float64(0.0403411523409715), np.float64(0.007236627921578885)]"
36,1,"[0.12601204702474528, 0.06908444482601887]"
36,2,"[0.08821248119149376, 0.07571636437209077]"
36,3,"[0.07053473051321317, 0.07897544588553328]"
37,0,"[np.float64(-0.03482824089504693), np.float64(0.12053535426020694)]"
37,1,"[-0.11426106363366467, 0.11577335194588564]"
37,2,"[-0.08731932759986266, 0.11174549701279321]"
37,3,"[np.float64(-0.05531908934501478), np.float64(0.09893050344736451)]"
38,0,"[np.float64(-0.009640221855520825), np.float64(0.0279264285742105)]"
38,1,"[0.014263909764506076, -0.07697988334338635]"
38,2,"[0.012955521302321676, -0.08262881018241054]"
38,3,"[np.float64(-0.00969895598420879), np.float64(0.015092962464749367)]"
0,0,"[np.float64(0.13583503979285907), np.float64(0.12667397348041415)]"
0,1,"[0.053789240172783276, 0.1352814237785474]"
0,2,"[0.07819635282343071, 0.133095687571986]"
0,3,"[np.float64(0.11461310195837142), np.float64(0.13134824071724094)]"
1,0,"[np.float64(-0.1637319332356415), np.float64(0.349681256040595)]"
1,1,"[-0.2631205430438528, 0.353304392526169]"
1,2,"[-0.21061280962073523, 0.3515289780248877]"
1,3,"[-0.21061280962073523, 0.3515289780248877]"
2,0,"[np.float64(0.5017905795486638), np.float64(0.36313875641586124)]"
2,1,"[0.4907195760417698, 0.12404418081747552]"
2,2,"[0.4987144319073976, 0.2549418645520042]"
2,3,"[np.float64(0.49931206681562956), np.float64(0.3123864598401921)]"
3,0,"[np.float64(0.2711212079718665), np.float64(-0.060236510481443316)]"
3,1,"[0.24429432443327148, -0.18208632660692967]"
3,2,"[0.2539266372078396, -0.11386080183001107]"
3,3,"[np.float64(0.2607327782086568), np.float64(-0.08519409245307076)]"
4,0,"[np.float64(0.11266744220960444), np.float64(-0.09121816146911133)]"
4,1,"[0.23230265572797595, -0.12715634421561878]"
4,2,"[0.19232462855887542, -0.13472123818139353]"
